S0; delta
50;0.134255
51;0.134255
52;0.134255
53;0.134255
54;0.134255
55;0.134255
56;0.134255
57;0.134255
58;0.134255
59;0.134255
60;0.134255
61;0.134255
62;0.134255
63;0.134255
64;0.134255
65;0.134255
66;0.134255
67;0.134255
68;0.134255
69;0.134255
70;0.134255
71;0.134255
72;0.134255
73;0.134255
74;0.134255
75;0.134255
76;0.134255
77;0.134255
78;0.134255
79;0.134255
80;0.134255
81;0.134255
82;0.134255
83;0.134255
84;0.134255
85;0.134255
86;0.134255
87;0.134255
88;0.134255
89;0.134255
90;0.134255
91;0.134255
92;0.134255
93;0.134255
94;0.134255
95;0.134255
96;0.134255
97;0.134255
98;0.134255
99;0.134255
100;0.134255
101;0.134255
102;0.134255
103;0.134255
104;0.134255
105;0.134255
106;0.134255
107;0.134255
108;0.134255
109;0.134255
110;0.134255
111;0.134255
112;0.134255
113;0.134255
114;0.134255
115;0.134255
116;0.134255
117;0.134255
118;0.134255
119;0.134255
120;0.134255
121;0.134255
122;0.134255
123;0.134255
124;0.134255
125;0.134255
126;0.134255
127;0.134255
128;0.134255
129;0.134255
130;0.134255
131;0.134255
132;0.134255
133;0.134255
134;0.134255
135;0.134255
136;0.134255
137;0.134255
138;0.134255
139;0.134255
140;0.134255
141;0.134255
142;0.134255
143;0.134255
144;0.134255
145;0.134255
146;0.134255
147;0.134255
148;0.134255
149;0.134255
150;0.134255
